company_name,sector,industry,market_cap,business_summary,risks,strategy
Delta Electronics (Thailand) Public Company Limited,Industrials,Electrical Equipment & Parts,2482289508352,"Delta Electronics (Thailand) Public Company Limited, together with its subsidiaries, researches and develops, manufactures, and distributes electronic products. It operates through four segments: Power Electronics, Mobility, Infrastructure, and Automation. It offers inductors, RF inductors, transformers, networking products, EMI filters, solenoids, current sensing resistors, and power modules; power and system products, such as USB socket outlets, medical power, industrial power supplies, industrial battery charging, high voltage power, embedded power, and adapters; DC brushless fans and blowers, motors, thermal management products, cabinet thermal solutions, and indoor air quality and automotive fans; EV powertrain systems; and display and visualization, mobile power, industrial power, and medical power products, as well as healthcare devices. The company also provides building automation products comprising building management and control system, LED lighting, smart surveillance, indoor air quality, healthy lighting, and building energy management system products; industrial automation products; data center, telecom power systems, networking systems, and UPS and datacenter infrastructure solutions; EV charging and energy storage systems, renewable energy, industrial battery charging, healthcare devices, industrial equipment, energy IoT, and display and visualization products; and visual display and smart education solutions. In addition, it offers industrial and building automation, data center, telecom energy, smart energy, displays and monitoring, and EV charging solutions. Further, the company rents properties; and manufactures and trades electric vehicle. It operates in Thailand, the United States, Germany, Singapore, China, India, Taiwan, the Netherlands, Mexico, Slovakia, and internationally. The company was incorporated in 1988 and is based in Samut Prakan, Thailand.",,
Advanced Info Service Public Company Limited,Communication Services,Telecom Services,910108196864,"Advanced Info Service Public Company Limited operates as a telecommunications and technology company primarily in Thailand. The company operates through three segments: Mobile Phone Services, Mobile Phone and Equipment Sales, and Datanet and Broadband Services. The company offers post and prepaid, and international calls and roaming services; digital e services; and Mpay, a payment solution. It also provides high-speed internet broadband services under the AIS Fibre and 3BB brands to consumers and businesses; and technologies and solutions services, including 5G and IoT, cloud and data center, communication, data analytic and AI, and business network solutions under the AIS Business brand to enterprise customers, SMEs, and large enterprises. In addition, the company operates as a service provider of call center, cellular telephone, electronic payment, and cash card; network operator; broadcasting network and television broadcasting service channels; digital platform; online advertising and outsourced contact center; mobile contents, application, and digital marketing; telecommunications, fixed-line, and data communication network; insurance broker; training; and telecommunication service operator and internet, as well as operates space, land, building, and related facilities. Further, it distributes handset and internet equipment; offers internet data center and international telephone services; develops IT systems service provider of content aggregator and outsourcing service for billing and collection; provides internet and online domain name; and develops, distributes, and services software. The company was founded in 1986 and is based in Bangkok, Thailand.",,
PTT Public Company Limited,Energy,Oil & Gas Integrated,899297640448,"PTT Public Company Limited engages in petroleum business in Thailand, Asia, Europe, the United States, and internationally. The company is involved in the exploration and production of petroleum; natural gas procurement, pipeline transmission, distribution, and separation activities; and management and maintenance services of port, LNG storage, and LNG station; and cooling management and other related businesses. It also markets petroleum products and lube oil through procurement, storage, and distribution of products, as well as conducts retail business at service stations. In addition, the company is involved in the import and export of petroleum and petrochemical products, and other related products; production and distribution of electricity, steam, and water for industrial purpose; and provision of human resource management and support, petroleum related technology, consultant management, petrol station and convenience store management, factory maintenance and engineering, and safety and environmental services; operates as a technical consultants for electricity businesses; and wind power project development activities. Further, it produces and distributes chilled water/constructs and installs electricity generating systems; distributes polymers and other polymers-related products; develops and rents real estate properties; operates vocational schools; manufactures and distributes biochemical products, paraxylene, and industrial coatings and additives, as well as offers polyethylene and oleochemical products, nonwoven fabrics, and medical consumables; and distributes plastic resin and chemical products. Additionally, it provides financial and online car services; coffee and beverages; and manufactures and distributes petrochemical, and health and nutrition products. The company was founded in 1978 and is headquartered in Bangkok, Thailand.",,
Airports of Thailand Public Company Limited,Industrials,Airports & Air Services,757142126592,"Airports of Thailand Public Company Limited, together with its subsidiaries, engages in the airport business in Thailand. The company engages in airport management, hotel business, ground service business, security business, and management of perishable goods projects. It operates six international airports, including Suvarnabhumi Airport, Don Mueang International Airport, Chiang Mai International Airport, Hat Yai International Airport, Phuket International Airport and Mae Fah Luang - Chiang Rai International Airport. The company is involved in the hotel and restaurant business; and operation and management of the project on perishable goods at Suvarnabhumi Airport. In addition, it offers ground equipment, security services, and manages projects, as well as ground, warehouse, and cleaning services. Airports of Thailand Public Company Limited was founded in 1979 and is headquartered in Bangkok, Thailand. Airports of Thailand Public Company Limited operates as a subsidiary of Ministry of Finance, Thailand.",,
Gulf Development Public Company Limited,Utilities,Utilities - Independent Power Producers,605063413760,"Gulf Development Public Company Limited generates and sells electricity and steam to public and private clients in Thailand and internationally. The company generates electricity through gas-fired, solar, biomass, and wind power projects under the independent power producers and small power producers. It undertakes infrastructure projects; distributes, supplies, and sells natural gas; and operates a digital infrastructure. In addition, the company is involved in the management, technical support, technology, investment, and trading services; storing and converting natural gas; satellite and related services; sale of direct television and satellite equipment; transponder services; engineering and development services; broadband network and content services; and broadcasting, television, and telecommunication services. Further, it provides system integration consultancy services for broadband network. The company was founded in 2007 and is based in Bangkok, Thailand.",,
Kasikornbank Public Company Limited,Financial Services,Banks - Regional,452541579264,"Kasikornbank Public Company Limited provides commercial banking products and services in Thailand and internationally. Its personal banking products and services include savings, e-savings, current, fixed deposit, and foreign currency deposit accounts; personal, home, and auto loans; debit and credit cards; health, life, accident, travel, saving, retirement, and non-life insurance products; investment products, such as mutual funds, stocks, debentures/bonds, derivatives/futures exchange, and Wealth PLUS services; money transfer and bill payment, cheque and draft, and foreign exchange services; and digital banking services. The company also offers various products and services for business customers, such as current, savings, special savings deposit, and fixed deposit accounts, as well as collection, payment, liquidity management, and online merchant solutions; international trade solutions comprising import and export service, global money transfer, guarantee, and trade finance solutions; long term loans, working capital loans, commercial loans, letters of guarantee, and K-Aval PN/K-Acceptance B/E services; life, non-life, and group insurance products; business card services; and electronic service solutions, cash management solutions, foreign exchange and derivatives, corporate finance, securities, and investment, as well as syndicated loans and value chain solutions. In addition, it provides auto and equipment leasing, venture capital management, lending, asset management, fund management, insurance broker, and digital asset fund manager services, as well as invests in other companies. Further, the company offers stockbroker, green solutions, property sale, electric vehicle, payment, and battery swap services, as well as honeycomb papers. Additionally, it provides information and communication system development; and professional conference organizing services. The company was founded in 1945 and is headquartered in Bangkok, Thailand.",,
SCB X Public Company Limited,Financial Services,Banks - Regional,449508835328,"SCB X Public Company Limited, together with its subsidiaries, engages banking, consumer and digital finance, and platform and technology businesses in Thailand and internationally. The company offers a portfolio consisting GEN 1, a banking business, including Siam Commercial Bank and associated financial management and insurance services; GEN 2, a consumer and digital finance business, which includes CardX, a credit and personal loans, AutoX, a vehicle title loans, MONIX, a digital lending through the FINNIX app, ABACUS digital, a digital lending through Money Thunder app, and Alpha X, a luxury financing services; and GEN 3, a platform and technology business, comprising InnovestX, an integrated investing platform, SCB 10X, a technology investment, Token X, an ICO Portal, and Point X, a point redemption service. In addition, the company provides hire purchase, leasing and refinancing business for cars, motorcycles, and watercrafts; title loans; credit card, personal loan for non-banks, nano finance for non-banks, debt collection, and life and non-life insurance; Data & AI partner; AI-powered digital lending platform; commercial banking business; Venture Capital and Venture Builder which invests and incubate tech ventures related to Blockchain, Digital Assets, the Metaverse, Web 3.0, and DeepTech; Data analytics business, end-to-end, automated lending provider; Securities business including fund management and investment services covering various assets such as Thai stocks, foreign stocks, mutual funds, bonds, and digital assets; and consulting services for digital technology development and solutions; asset fractionalization and TKX enterprise solutions. Further, the company develops and manages customer loyalty programs; purchase, transfers and manages non-performing assets from financial institutions and financial business operators. SCB X Public Company Limited was founded in 1906 and is headquartered in Bangkok, Thailand.",,
PTT Exploration and Production Public Company Limited,Energy,Oil & Gas E&P,420818452480,"PTT Exploration and Production Public Company Limited, together with its subsidiaries, engages in the exploration, development, and production of petroleum in Thailand and internationally. The company is involved in the gas pipeline transportation business; and solar power businesses, as well as renewable energy and related activities. It also provides property rental services; air base services; and petroleum-related technology, human resource support, treasury center, and technology and innovation services. The company was founded in 1985 and is headquartered in Bangkok, Thailand. PTT Exploration and Production Public Company Limited operates as a subsidiary of PTT Public Company Limited.",,
Krung Thai Bank Public Company Limited,Financial Services,Banks - Regional,401811767296,"Krung Thai Bank Public Company Limited engages in commercial banking business in Thailand and internationally. It operates through three segments: Retail Banking, Corporate Banking, and Treasury and Investment. The company offers personal banking products and services, including current, savings, and fixed deposit accounts; foreign currency and tax-free time deposits; debit, credit, cash and top up, and travel cards; personal and housing loans; health, life, motor, accident, and others/non-life insurance products; money transfer, payment and top-up, foreign exchange, and oversea education services; and e-banking services. It also provides SME loans for small and medium businesses, as well as international business loans. In addition, the company offers corporate banking services, including cash management services, such as liquidity management, collection, and transfer and payment services; deposit and card services; e-banking; and global markets services, which includes foreign exchange and derivatives, investment solutions, and investment banking services. Krung Thai Bank Public Company Limited was founded in 1966 and is headquartered in Bangkok, Thailand.",,
CP ALL Public Company Limited,Consumer Defensive,Grocery Stores,383366627328,"CP ALL Public Company Limited, together with its subsidiaries, operates and franchises convenience stores under the 7-Eleven name to other retailers primarily in Thailand, Malaysia, and internatinally. The company operates through four segments: Convenience stores, Wholesale, Retail and Mall, and Other. It also operates frozen food plants and bakeries; distributes various commercial cards and tickets, catalog merchandises, and food and non-food products; and retails health and beauty products. In addition, the company offers bill payment, software development, information system design and development, logistics, digital healthcare, medical consultancy, delivery rental, storage, marketing and consulting, research and development, and microbiologic and scientific laboratory services. Further, the company engages in the e-commerce, insurance broker, and telecommunication businesses. Additionally, it operates training centers and educational institutions; produces ready meals; and trades and retails equipment, as well as offers maintenance of convenience stores equipment. The company was formerly known as C.P. Seven Eleven Public Company Limited. CP ALL Public Company Limited was founded in 1988 and is headquartered in Nonthaburi, Thailand.",,
True Corporation Public Company Limited,Communication Services,Telecom Services,376617861120,"True Corporation Public Company Limited, together with its subsidiaries, provides telecommunications and value-added services in Thailand. The company operates through Mobile, Pay TV, and Broadband Internet and Others segments. It offers mobile, broadband Internet, Wi-Fi, television, and digital platforms and solutions. The company is also involved in entertainment, mobile equipment lessor, program production, non-government telecommunication, artist management and related, Internet services provider and distributor, and marketing management activities. In addition, it operates news channel; and provides business solutions, online digital media services on website and telecommunication devices, distribution center services, advertising sale and agency services, wireless telecommunication services, pay television, and football club and related activities management services. Further, the company designs, develops, produces, and sells software products; and offers digital solutions, privilege and online-to-offline platforms, and hospitality technology, as well as business process outsourcing services in technical service, marketing, and customer relations. The company was formerly known as TelecomAsia Corporation Public Company Limited and changed its name to True Corporation Public Company Limited in April 2004. True Corporation Public Company Limited was incorporated in 1990 and is based in Bangkok, Thailand.",,
Bangkok Bank Public Company Limited,Financial Services,Banks - Regional,316867903488,"Bangkok Bank Public Company Limited provides various commercial banking products and services in Thailand and internationally. It operates through Domestic Banking, International Banking, Investment Banking, and Others segments. The company provides various personal banking products and services, including savings, current, fixed deposit, foreign currency, securities trading, and other accounts; home and personal loans, as well as loans for pensioners; mutual funds; bonds and debentures; life and non-life bancassurance products; payment, funds transfer, currency exchange and foreign instrument, and SMS services; debit, credit, and prepaid cards; bonds and debentures; and phone and Internet banking, mobile banking, ATMs, and other services. It also offer business banking products and services comprising operating accounts; e-bank confirmation on blockchain, loans for SMEs, loans for SMEs with commercial transactions, international trade, investment banking, and e-guarantee services; securities services, such as custodian, mutual fund supervisor, provident fund registrar, securities registrar, and debenture holders' representative services; personal loans for small businesses; payment, collection, and merchant services; digital banking services; and commercial cards. In addition, the company offers trade finance, remittances, export and import, project, corporate finance, electronic services, capital market, project and structured finance, and financial advisory services, as well as business property insurance and interest rate risk management. Further, it offers fund management, securities, and assets management services. Bangkok Bank Public Company Limited was founded in 1944 and is headquartered in Bangkok, Thailand.",,
