,company,title,areas,value,value_trans,z_by_company
3015,Delta Electronics (Thailand) Public Company Limited,Analyzing impact of changing fuel-mix composition of Thailand power generation,"['Environmental Science (all)', 'Energy (all)', 'Earth and Planetary Sciences (all)']",0.4327320158481598,3.0637398708558576,3.0046571183567656
5803,Delta Electronics (Thailand) Public Company Limited,The Feasibility Study on the Infrastructure of Swapping Battery Station for Electric Motorcycles in Thailand,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)']",0.44929489493370056,3.1401203923839134,3.0834957336956923
7545,Delta Electronics (Thailand) Public Company Limited,Does Thailand fulfill the ASEAN requirements for foreign direct investment under partial liberalization in electricity industry?,['Law'],0.4422133266925812,3.1078121681104216,3.0501477594370194
8989,Delta Electronics (Thailand) Public Company Limited,The Development of Machineries and Technologies to Support Digital Transformation,"['Software', 'Human-Computer Interaction', 'Computer Vision and Pattern Recognition', 'Computer Networks and Communications']",0.45183128118515015,3.151567779677234,3.0953115231849315
8998,Delta Electronics (Thailand) Public Company Limited,Business model and market designs for solar prosumer on peer to peer energy trading in Thailand,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)']",0.45352989435195923,3.1591978053218144,3.103187099899844
12119,Delta Electronics (Thailand) Public Company Limited,Plausible Scenarios for Thai Energy Businesses in the Next 30 Years,"['Renewable Energy, Sustainability and the Environment', 'Fuel Technology', 'Energy Engineering and Power Technology', 'Economics and Econometrics']",0.4433803856372833,3.11317211957719,3.0556802059753516
13367,Delta Electronics (Thailand) Public Company Limited,Does Thailand Fulfill the ASEAN Requirements for Foreign Direct Investment under Partial Liberalization in Electricity Industry?,['Social Sciences (all)'],0.4401232600212097,3.098177810453547,3.0402033468806198
14262,Delta Electronics (Thailand) Public Company Limited,Evaluation of the effects of citizen behaviors on the volume of wEEE generation in Thailand,['Environmental Science (all)'],0.4619886577129364,3.1967659859454614,3.14196430751662
21552,Advanced Info Service Public Company Limited,"Exploring the possibility of MaaS service in Thailand, implications from the existing conditions and experts' opinions on “Who should be the MaaS provider in Bangkok?”","['Transportation', 'Safety Research', 'Urban Studies', 'Engineering (all)']",0.4812377691268921,3.2796759741345816,3.3074173219091487
28539,Advanced Info Service Public Company Limited,The Development of Machineries and Technologies to Support Digital Transformation,"['Software', 'Human-Computer Interaction', 'Computer Vision and Pattern Recognition', 'Computer Networks and Communications']",0.4494122266769409,3.1406513785876813,3.1699584043881703
52465,PTT Public Company Limited,Developing a commercialisation model for innovative products and processes in a petroleum firm,"['Business and International Management', 'Strategy and Management', 'Management Science and Operations Research']",0.4757336974143982,3.2563271909657696,3.057135345202375
62397,Airports of Thailand Public Company Limited,Investigation of infrastructure maintenance cost of intercity railway in Thailand,"['Materials Science (all)', 'Engineering (all)']",0.4504985213279724,3.145560790792114,3.105615428154143
