,company,title,areas,value,value_trans,z_by_company
55,Delta Electronics (Thailand) Public Company Limited,Innovative PLC training laboratory for developing industry 4.0 skills,"['Computer Networks and Communications', 'Computer Science Applications', 'Information Systems and Management', 'Electrical and Electronic Engineering', 'Media Technology', 'Visual Arts and Performing Arts']",0.3848941922187805,2.826179908161518,3.935315315802164
452,Delta Electronics (Thailand) Public Company Limited,Students' perceptions of makerspaces and learning environments in thai schools,"['Computer Networks and Communications', 'Energy Engineering and Power Technology', 'Engineering (miscellaneous)', 'Electrical and Electronic Engineering', 'Mathematics (miscellaneous)', 'Education']",0.3143128752708435,2.422818152780251,3.056941003020017
580,Delta Electronics (Thailand) Public Company Limited,Standardized the natural gas data for Thailand's sustainable goal,['Energy (all)'],0.4256904721260071,3.030389839747095,4.443019137112424
710,Delta Electronics (Thailand) Public Company Limited,"Quantification and characterization of recovered materials in the cycle of the informal household electronic waste dismantling in Buriram province, Thailand: A challenge towards sustainable management and circular economy","['Environmental Engineering', 'Waste Management and Disposal', 'Pollution']",0.3541119694709778,2.6586523442342873,3.552234991982866
1151,Delta Electronics (Thailand) Public Company Limited,Reducing misclassification of true defects in defect classification of electronic board,['Artificial Intelligence'],0.33335110545158386,2.5384864938424,3.2938690326277857
1330,Delta Electronics (Thailand) Public Company Limited,BUSINESS SUCCESS FOR SUSTAINABILITY INDICATOR DEVELOPMENT OF ONE TAMBON ONE PRODUCE†,"['Education', 'Business, Management and Accounting (all)', 'Social Sciences (miscellaneous)', 'Economics, Econometrics and Finance (all)', 'Literature and Literary Theory']",0.3217296600341797,2.4685237325987255,3.1492418200245216
1482,Delta Electronics (Thailand) Public Company Limited,Need for an innovative health education approach on the health effects of e-waste,['Social Sciences (all)'],0.3416774570941925,2.5874065129992307,3.3974892783006405
2865,Delta Electronics (Thailand) Public Company Limited,Forecasting annual solar PV capacity installation in Thailand residential sector: A user segmentation approach,['Engineering (all)'],0.3608328402042389,2.696283411166544,3.6358752592221477
2867,Delta Electronics (Thailand) Public Company Limited,Challenge of Renewable Energy Transition towards Krabi's Sustainable Energy City,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)']",0.32798221707344055,2.506412291442967,3.2270539908649027
3015,Delta Electronics (Thailand) Public Company Limited,Analyzing impact of changing fuel-mix composition of Thailand power generation,"['Environmental Science (all)', 'Energy (all)', 'Earth and Planetary Sciences (all)']",0.4327320158481598,3.0637398708558576,4.530650133462828
